Timestamp,Sales
2022-06-22,37
2022-06-23,84
2022-06-24,42
2022-06-25,31
2022-06-26,11
2022-06-27,28
2022-06-28,79
2022-06-29,53
2022-06-30,55
2022-07-01,54
2022-07-02,26
2022-07-03,88
2022-07-04,36
2022-07-05,54
2022-07-06,12
2022-07-07,65
2022-07-08,14
2022-07-09,92
2022-07-10,22
2022-07-11,18
2022-07-12,92
2022-07-13,30
2022-07-14,36
2022-07-15,30
2022-07-16,80
2022-07-17,70
2022-07-18,28
2022-07-19,42
2022-07-20,98
2022-07-21,27
2022-07-22,33
2022-07-23,42
2022-07-24,16
2022-07-25,40
2022-07-26,87
2022-07-27,28
2022-07-28,52
2022-07-29,64
2022-07-30,46
2022-07-31,90
2022-08-01,79
2022-08-02,87
2022-08-03,60
2022-08-04,50
2022-08-05,69
2022-08-06,54
2022-08-07,51
2022-08-08,18
2022-08-09,21
2022-08-10,16
2022-08-11,18
2022-08-12,63
2022-08-13,57
2022-08-14,83
2022-08-15,30
2022-08-16,76
2022-08-17,82
2022-08-18,19
2022-08-19,44
2022-08-20,55
2022-08-21,63
2022-08-22,73
2022-08-23,43
2022-08-24,42
2022-08-25,47
2022-08-26,100
2022-08-27,44
2022-08-28,10
2022-08-29,43
2022-08-30,22
2022-08-31,25
2022-09-01,34
2022-09-02,37
2022-09-03,11
2022-09-04,61
2022-09-05,73
2022-09-06,34
2022-09-07,56
2022-09-08,92
2022-09-09,36
2022-09-10,51
2022-09-11,24
2022-09-12,25
2022-09-13,92
2022-09-14,17
2022-09-15,62
2022-09-16,99
2022-09-17,34
2022-09-18,38
2022-09-19,40
2022-09-20,63
2022-09-21,32
2022-09-22,49
2022-09-23,77
2022-09-24,82
2022-09-25,91
2022-09-26,73
2022-09-27,74
2022-09-28,33
2022-09-29,87
2022-09-30,43
2022-10-01,88
2022-10-02,11
2022-10-03,14
2022-10-04,20
2022-10-05,78
2022-10-06,75
2022-10-07,99
2022-10-08,70
2022-10-09,97
2022-10-10,12
2022-10-11,53
2022-10-12,82
2022-10-13,70
2022-10-14,18
2022-10-15,59
2022-10-16,87
2022-10-17,80
2022-10-18,76
2022-10-19,59
2022-10-20,27
2022-10-21,43
2022-10-22,81
2022-10-23,94
2022-10-24,94
2022-10-25,32
2022-10-26,22
2022-10-27,23
2022-10-28,85
2022-10-29,100
2022-10-30,89
2022-10-31,93
2022-11-01,34
2022-11-02,43
2022-11-03,49
2022-11-04,29
2022-11-05,18
2022-11-06,79
2022-11-07,11
2022-11-08,63
2022-11-09,81
2022-11-10,94
2022-11-11,84
2022-11-12,84
2022-11-13,71
2022-11-14,91
2022-11-15,70
2022-11-16,57
2022-11-17,12
2022-11-18,99
2022-11-19,88
2022-11-20,64
2022-11-21,89
2022-11-22,48
2022-11-23,39
2022-11-24,27
2022-11-25,92
2022-11-26,89
2022-11-27,84
2022-11-28,41
2022-11-29,72
2022-11-30,37
2022-12-01,80
2022-12-02,17
2022-12-03,77
2022-12-04,31
2022-12-05,66
2022-12-06,89
2022-12-07,94
2022-12-08,52
2022-12-09,99
2022-12-10,25
2022-12-11,70
2022-12-12,72
2022-12-13,23
2022-12-14,91
2022-12-15,58
2022-12-16,27
2022-12-17,43
2022-12-18,55
2022-12-19,99
2022-12-20,23
2022-12-21,10
2022-12-22,71
2022-12-23,38
2022-12-24,58
2022-12-25,56
2022-12-26,13
2022-12-27,73
2022-12-28,42
2022-12-29,57
2022-12-30,57
2022-12-31,18
2023-01-01,81
2023-01-02,44
2023-01-03,72
2023-01-04,12
2023-01-05,67
2023-01-06,98
2023-01-07,19
2023-01-08,59
2023-01-09,28
2023-01-10,78
2023-01-11,26
2023-01-12,46
2023-01-13,22
2023-01-14,35
2023-01-15,30
2023-01-16,50
2023-01-17,10
2023-01-18,80
2023-01-19,42
2023-01-20,69
2023-01-21,45
2023-01-22,59
2023-01-23,62
2023-01-24,94
2023-01-25,23
2023-01-26,63
2023-01-27,14
2023-01-28,44
2023-01-29,88
2023-01-30,25
2023-01-31,52
2023-02-01,11
2023-02-02,30
2023-02-03,16
2023-02-04,88
2023-02-05,87
2023-02-06,64
2023-02-07,72
2023-02-08,89
2023-02-09,74
2023-02-10,49
2023-02-11,14
2023-02-12,15
2023-02-13,32
2023-02-14,43
2023-02-15,70
2023-02-16,29
2023-02-17,88
2023-02-18,10
2023-02-19,28
2023-02-20,57
2023-02-21,21
2023-02-22,64
2023-02-23,94
2023-02-24,51
2023-02-25,19
2023-02-26,56
2023-02-27,80
2023-02-28,46
2023-03-01,21
2023-03-02,90
2023-03-03,72
2023-03-04,66
2023-03-05,79
2023-03-06,65
2023-03-07,57
2023-03-08,85
2023-03-09,27
2023-03-10,53
2023-03-11,91
2023-03-12,98
2023-03-13,64
2023-03-14,50
2023-03-15,64
2023-03-16,89
2023-03-17,45
2023-03-18,10
2023-03-19,90
2023-03-20,15
2023-03-21,48
2023-03-22,37
2023-03-23,75
2023-03-24,83
2023-03-25,57
2023-03-26,96
2023-03-27,26
2023-03-28,34
2023-03-29,10
2023-03-30,90
2023-03-31,39
2023-04-01,48
2023-04-02,52
2023-04-03,78
2023-04-04,19
2023-04-05,86
2023-04-06,19
2023-04-07,47
2023-04-08,87
2023-04-09,62
2023-04-10,29
2023-04-11,55
2023-04-12,13
2023-04-13,99
2023-04-14,37
2023-04-15,16
2023-04-16,88
2023-04-17,73
2023-04-18,53
2023-04-19,70
2023-04-20,54
2023-04-21,18
2023-04-22,50
2023-04-23,41
2023-04-24,62
2023-04-25,45
2023-04-26,33
2023-04-27,55
2023-04-28,94
2023-04-29,75
2023-04-30,76
2023-05-01,42
2023-05-02,77
2023-05-03,66
2023-05-04,75
2023-05-05,30
2023-05-06,77
2023-05-07,36
2023-05-08,83
2023-05-09,63
2023-05-10,22
2023-05-11,61
2023-05-12,85
2023-05-13,14
2023-05-14,40
2023-05-15,93
2023-05-16,88
2023-05-17,98
2023-05-18,10
2023-05-19,15
2023-05-20,57
2023-05-21,20
2023-05-22,20
2023-05-23,38
2023-05-24,24
2023-05-25,80
2023-05-26,58
2023-05-27,64
2023-05-28,79
2023-05-29,63
2023-05-30,57
2023-05-31,95
2023-06-01,68
2023-06-02,52
2023-06-03,79
2023-06-04,73
2023-06-05,52
2023-06-06,71
2023-06-07,20
2023-06-08,25
2023-06-09,28
2023-06-10,90
2023-06-11,79
2023-06-12,89
2023-06-13,34
2023-06-14,32
2023-06-15,91
2023-06-16,20
2023-06-17,67
2023-06-18,73
2023-06-19,79
2023-06-20,36
2023-06-21,52
2023-06-22,86
2023-06-23,53
2023-06-24,84
2023-06-25,42
2023-06-26,29
2023-06-27,65
2023-06-28,54
2023-06-29,66
2023-06-30,17
2023-07-01,67
2023-07-02,91
2023-07-03,100
2023-07-04,77
2023-07-05,36
2023-07-06,58
2023-07-07,11
2023-07-08,68
2023-07-09,98
2023-07-10,75
2023-07-11,20
2023-07-12,70
2023-07-13,54
2023-07-14,66
2023-07-15,22
2023-07-16,18
2023-07-17,61
2023-07-18,60
2023-07-19,97
2023-07-20,31
2023-07-21,94
2023-07-22,16
2023-07-23,81
2023-07-24,43
2023-07-25,61
2023-07-26,22
2023-07-27,62
2023-07-28,96
2023-07-29,96
2023-07-30,92
2023-07-31,70
2023-08-01,85
2023-08-02,63
2023-08-03,14
2023-08-04,82
2023-08-05,83
2023-08-06,91
2023-08-07,71
2023-08-08,18
2023-08-09,96
2023-08-10,16
2023-08-11,11
2023-08-12,91
2023-08-13,37
2023-08-14,85
2023-08-15,58
2023-08-16,12
2023-08-17,11
2023-08-18,80
2023-08-19,70
2023-08-20,82
2023-08-21,42
2023-08-22,63
2023-08-23,68
